cell,cell_type
Cell661,group3
Cell662,group1
Cell663,group2
Cell664,group5
Cell665,group1
Cell666,group2
Cell667,group1
Cell668,group5
Cell669,group1
Cell670,group4
Cell671,group4
Cell672,group2
Cell673,group1
Cell674,group5
Cell675,group5
Cell676,group3
Cell677,group2
Cell678,group5
Cell679,group4
Cell680,group5
Cell681,group1
Cell682,group3
Cell683,group3
Cell684,group3
Cell685,group3
Cell686,group2
Cell687,group5
Cell688,group4
Cell689,group2
Cell690,group4
Cell691,group3
Cell692,group3
Cell693,group3
Cell694,group2
Cell695,group2
Cell696,group2
Cell697,group5
Cell698,group4
Cell699,group2
Cell700,group3
Cell701,group2
Cell702,group2
Cell703,group4
Cell704,group2
Cell705,group3
Cell706,group4
Cell707,group1
Cell708,group3
Cell709,group4
Cell710,group1
Cell711,group1
Cell712,group2
Cell713,group5
Cell714,group3
Cell715,group2
Cell716,group3
Cell717,group5
Cell718,group5
Cell719,group5
Cell720,group2
Cell721,group4
Cell722,group4
Cell723,group4
Cell724,group1
Cell725,group2
Cell726,group4
Cell727,group5
Cell728,group3
Cell729,group2
Cell730,group1
Cell731,group3
Cell732,group1
Cell733,group1
Cell734,group5
Cell735,group2
Cell736,group2
Cell737,group1
Cell738,group2
Cell739,group2
Cell740,group4
Cell741,group2
Cell742,group1
Cell743,group4
Cell744,group2
Cell745,group4
Cell746,group4
Cell747,group2
Cell748,group2
Cell749,group5
Cell750,group4
Cell751,group2
Cell752,group3
Cell753,group2
Cell754,group3
Cell755,group1
Cell756,group2
Cell757,group4
Cell758,group2
Cell759,group2
Cell760,group2
Cell761,group2
Cell762,group2
Cell763,group2
Cell764,group4
Cell765,group1
Cell766,group3
Cell767,group4
Cell768,group1
Cell769,group2
Cell770,group4
Cell771,group4
Cell772,group3
Cell773,group5
Cell774,group2
Cell775,group1
Cell776,group5
Cell777,group3
Cell778,group2
Cell779,group4
Cell780,group2
Cell781,group4
Cell782,group2
Cell783,group4
Cell784,group3
Cell785,group2
Cell786,group1
Cell787,group2
Cell788,group2
Cell789,group5
Cell790,group2
Cell791,group4
Cell792,group1
Cell793,group3
Cell794,group4
Cell795,group4
Cell796,group4
Cell797,group2
Cell798,group3
Cell799,group4
Cell800,group1
Cell801,group2
Cell802,group1
Cell803,group4
Cell804,group2
Cell805,group3
Cell806,group2
Cell807,group3
Cell808,group3
Cell809,group2
Cell810,group5
Cell811,group4
Cell812,group1
Cell813,group4
Cell814,group4
Cell815,group2
Cell816,group2
Cell817,group3
Cell818,group4
Cell819,group3
Cell820,group4
Cell821,group2
Cell822,group4
Cell823,group1
Cell824,group1
Cell825,group4
Cell826,group2
Cell827,group2
Cell828,group2
Cell829,group2
Cell830,group4
Cell831,group1
Cell832,group4
Cell833,group1
Cell834,group1
Cell835,group2
Cell836,group4
Cell837,group2
Cell838,group4
Cell839,group2
Cell840,group2
Cell841,group2
Cell842,group2
Cell843,group2
Cell844,group2
Cell845,group4
Cell846,group4
Cell847,group2
Cell848,group4
Cell849,group3
Cell850,group5
Cell851,group4
Cell852,group2
Cell853,group5
Cell854,group3
Cell855,group1
Cell856,group5
Cell857,group2
Cell858,group1
Cell859,group1
Cell860,group5
Cell861,group4
Cell862,group1
Cell863,group2
Cell864,group4
Cell865,group3
Cell866,group4
Cell867,group3
Cell868,group2
Cell869,group3
Cell870,group1
Cell871,group2
Cell872,group1
Cell873,group5
Cell874,group1
Cell875,group3
Cell876,group5
Cell877,group5
Cell878,group1
Cell879,group4
Cell880,group1
Cell881,group2
Cell882,group3
Cell883,group1
Cell884,group4
Cell885,group2
Cell886,group1
Cell887,group3
Cell888,group3
Cell889,group2
Cell890,group4
Cell891,group1
Cell892,group4
Cell893,group1
Cell894,group1
Cell895,group5
Cell896,group2
Cell897,group3
Cell898,group2
Cell899,group4
Cell900,group4
Cell901,group2
Cell902,group2
Cell903,group2
Cell904,group2
Cell905,group2
Cell906,group3
Cell907,group5
Cell908,group1
Cell909,group3
Cell910,group2
Cell911,group4
Cell912,group2
Cell913,group2
Cell914,group3
Cell915,group4
Cell916,group4
Cell917,group1
Cell918,group1
Cell919,group4
Cell920,group3
Cell921,group5
Cell922,group1
Cell923,group2
Cell924,group5
Cell925,group5
Cell926,group4
Cell927,group2
Cell928,group2
Cell929,group1
Cell930,group1
Cell931,group2
Cell932,group3
Cell933,group5
Cell934,group2
Cell935,group2
Cell936,group5
Cell937,group1
Cell938,group4
Cell939,group2
Cell940,group2
Cell941,group1
Cell942,group2
Cell943,group5
Cell944,group1
Cell945,group1
Cell946,group1
Cell947,group1
Cell948,group1
Cell949,group3
Cell950,group4
Cell951,group3
Cell952,group4
Cell953,group3
Cell954,group4
Cell955,group3
Cell956,group2
Cell957,group2
Cell958,group4
Cell959,group2
Cell960,group3
Cell961,group3
Cell962,group2
Cell963,group4
Cell964,group3
Cell965,group5
Cell966,group2
