"","spot_class","first_type","second_type","first_class","second_class","min_score","singlet_score","conv_all","conv_doublet"
"5393","singlet","Granule","Astrocytes",FALSE,FALSE,793.047438501053,793.980623001847,TRUE,TRUE
"5394","doublet_certain","Bergmann","Purkinje",FALSE,FALSE,1082.09129507011,1152.99838078001,TRUE,TRUE
"5395","doublet_certain","Granule","Golgi",FALSE,FALSE,634.337637779466,664.21904015343,TRUE,TRUE
"5396","singlet","Granule","UBCs",FALSE,FALSE,270.25112434738,272.84538619354,TRUE,TRUE
"5397","doublet_uncertain","Granule","Golgi",FALSE,FALSE,933.082534231524,1009.57446500456,TRUE,TRUE
"5398","singlet","Granule","Astrocytes",FALSE,FALSE,282.85723799738,288.795726034777,TRUE,TRUE
"5399","singlet","Granule","Astrocytes",FALSE,FALSE,301.223697345732,303.42439271812,TRUE,TRUE
"5400","singlet","Granule","Oligodendrocytes",FALSE,FALSE,683.706028048295,684.570417431852,TRUE,TRUE
"5401","singlet","Granule","Oligodendrocytes",FALSE,FALSE,440.822444395879,443.967909792193,TRUE,TRUE
"5402","singlet","Oligodendrocytes","Astrocytes",FALSE,FALSE,479.877479437544,489.400311177944,TRUE,TRUE
"5403","singlet","MLI1","Bergmann",FALSE,TRUE,825.205187289965,841.365731190023,TRUE,TRUE
"5404","singlet","Granule","Oligodendrocytes",FALSE,FALSE,276.80645945257,281.406674920977,TRUE,TRUE
"5405","doublet_certain","Bergmann","Purkinje",FALSE,FALSE,1592.74474209949,1808.10709657604,TRUE,TRUE
"5406","singlet","MLI2","Bergmann",FALSE,FALSE,233.709985516797,235.357058121051,TRUE,TRUE
"5407","singlet","Granule","Astrocytes",FALSE,FALSE,631.369236485202,637.644974463043,TRUE,TRUE
"5408","singlet","Oligodendrocytes","Astrocytes",FALSE,FALSE,487.848822697467,496.799874958763,TRUE,TRUE
"5409","singlet","Granule","Endothelial",FALSE,FALSE,398.645964327262,400.228977375299,TRUE,TRUE
"5410","singlet","Granule","Oligodendrocytes",FALSE,FALSE,594.028282590046,600.978490528705,TRUE,TRUE
"5411","singlet","Polydendrocytes","UBCs",FALSE,FALSE,454.41724156616,458.640778464636,TRUE,TRUE
"5412","singlet","Oligodendrocytes","Microglia",FALSE,FALSE,231.258808681062,233.708389070769,TRUE,TRUE
"5413","singlet","Granule","Oligodendrocytes",FALSE,FALSE,325.14446227015,327.804238738737,TRUE,TRUE
"5414","singlet","Granule","Endothelial",FALSE,FALSE,840.21316348477,847.22695864335,TRUE,TRUE
"5415","singlet","Granule","Astrocytes",FALSE,FALSE,444.706498610431,460.559968647396,TRUE,TRUE
"5416","doublet_certain","Bergmann","Fibroblast",TRUE,FALSE,500.513829665504,525.525053473636,TRUE,TRUE
"5417","singlet","Granule","Oligodendrocytes",FALSE,FALSE,771.448495684993,774.595368469111,TRUE,TRUE
"5418","singlet","Granule","Astrocytes",FALSE,FALSE,811.12504666073,819.226302096221,TRUE,TRUE
"5419","singlet","MLI2","Polydendrocytes",FALSE,FALSE,335.660763199055,337.968145527294,TRUE,TRUE
"5420","singlet","MLI1","Astrocytes",FALSE,FALSE,175.442641091148,183.684715725865,TRUE,TRUE
"5421","singlet","Granule","Microglia",FALSE,FALSE,332.991506569884,334.722889981341,TRUE,TRUE
"5422","singlet","Bergmann","Microglia",FALSE,FALSE,333.555350685943,355.415517486713,TRUE,TRUE
"5423","singlet","Granule","Polydendrocytes",FALSE,FALSE,329.881426369358,330.346316728412,TRUE,TRUE
"5424","doublet_certain","Granule","Oligodendrocytes",FALSE,FALSE,867.2126855328,1011.67279800578,TRUE,TRUE
"5425","singlet","Fibroblast","Bergmann",FALSE,FALSE,132.199332195636,134.375390475264,TRUE,TRUE
"5426","singlet","Astrocytes","Polydendrocytes",FALSE,FALSE,421.049522233691,426.889176126369,TRUE,TRUE
"5427","singlet","MLI1","Choroid",FALSE,FALSE,393.565275426638,396.585408604236,TRUE,TRUE
"5428","singlet","Granule","Astrocytes",FALSE,FALSE,418.588663939156,434.313812208011,TRUE,TRUE
"5429","singlet","Granule","Fibroblast",FALSE,FALSE,486.878444293935,491.292065832709,TRUE,TRUE
"5430","singlet","Bergmann","MLI2",FALSE,FALSE,864.82326222973,875.12957957641,TRUE,TRUE
"5431","singlet","Granule","Astrocytes",FALSE,FALSE,234.257711748262,235.942164543088,TRUE,TRUE
"5432","singlet","Bergmann","Ependymal",FALSE,FALSE,705.367677896632,712.291678960307,TRUE,TRUE
"5433","singlet","Granule","MLI2",FALSE,FALSE,229.877473743192,230.315106157788,TRUE,TRUE
"5434","singlet","Granule","Astrocytes",FALSE,FALSE,436.326557362368,452.50251914267,TRUE,TRUE
"5435","singlet","Granule","Oligodendrocytes",FALSE,FALSE,997.875293926007,1001.02986911667,TRUE,TRUE
"5436","doublet_certain","Choroid","Ependymal",FALSE,FALSE,649.530839619593,682.66868553085,TRUE,TRUE
"5437","singlet","Granule","Astrocytes",FALSE,FALSE,422.661811374774,443.091935999469,TRUE,TRUE
"5438","singlet","Granule","Choroid",FALSE,FALSE,421.477633633664,425.10840320244,TRUE,TRUE
"5439","singlet","Oligodendrocytes","Microglia",FALSE,FALSE,306.702954145752,310.852296061363,TRUE,TRUE
"5440","doublet_uncertain","Purkinje","Ependymal",FALSE,FALSE,443.849056837583,528.427373880921,TRUE,TRUE
"5441","doublet_uncertain","Bergmann","Granule",TRUE,FALSE,762.680644676214,800.314904494905,TRUE,TRUE
"5442","singlet","Astrocytes","Granule",TRUE,FALSE,516.064001843848,528.455030124584,TRUE,TRUE
"5443","doublet_certain","Purkinje","Granule",FALSE,FALSE,945.844262856731,988.731515661161,TRUE,TRUE
"5444","singlet","Granule","Astrocytes",FALSE,FALSE,848.989810495139,853.148094519614,TRUE,TRUE
"5445","singlet","Granule","Lugaro",FALSE,FALSE,458.460607431245,459.921290203829,TRUE,TRUE
"5446","doublet_certain","Golgi","Granule",FALSE,FALSE,1187.44783650211,1216.91547473841,TRUE,TRUE
"5447","singlet","Granule","Macrophages",FALSE,FALSE,474.330361937652,475.717573962248,TRUE,TRUE
"5448","singlet","Granule","Polydendrocytes",FALSE,FALSE,416.090586155235,417.139674420155,TRUE,TRUE
"5449","doublet_certain","Bergmann","Granule",TRUE,FALSE,1039.30126404178,1116.80932777615,TRUE,TRUE
"5450","singlet","Granule","Astrocytes",FALSE,FALSE,899.350607201371,907.318049384294,TRUE,TRUE
"5451","singlet","Granule","Astrocytes",FALSE,FALSE,757.990998611921,765.204611551878,TRUE,TRUE
"5452","doublet_uncertain","Oligodendrocytes","Lugaro",FALSE,FALSE,745.740119453067,906.016224533802,TRUE,TRUE
"5453","doublet_certain","Oligodendrocytes","Granule",FALSE,FALSE,1091.4822696552,1233.50424704003,TRUE,TRUE
"5454","singlet","Granule","Candelabrum",FALSE,FALSE,317.214579293403,323.012231049245,TRUE,TRUE
"5455","doublet_uncertain","Bergmann","Candelabrum",TRUE,FALSE,329.050882383845,356.107099303651,TRUE,TRUE
"5456","singlet","Granule","Astrocytes",FALSE,FALSE,1264.84366882638,1264.87152385683,TRUE,TRUE
"5457","doublet_uncertain","Purkinje","Bergmann",FALSE,FALSE,268.426868725196,300.819145307263,TRUE,TRUE
"5458","singlet","Granule","Candelabrum",FALSE,FALSE,507.711487839806,511.211532389404,TRUE,TRUE
"5459","doublet_certain","Granule","Astrocytes",FALSE,TRUE,921.402551840288,977.704620900407,TRUE,TRUE
"5460","singlet","Granule","Astrocytes",FALSE,FALSE,795.12106354,814.863087886695,TRUE,TRUE
"5461","singlet","MLI2","Ependymal",FALSE,FALSE,300.390689892462,314.262063770183,TRUE,TRUE
"5462","singlet","Granule","Astrocytes",FALSE,FALSE,1327.77319078862,1327.4747616087,TRUE,TRUE
"5463","singlet","Bergmann","MLI1",FALSE,FALSE,165.622489064972,181.454091770078,TRUE,TRUE
"5464","singlet","Fibroblast","Purkinje",FALSE,FALSE,192.074369479877,194.452970466818,TRUE,TRUE
"5465","singlet","Granule","Astrocytes",FALSE,FALSE,365.974045947553,367.553304335639,TRUE,TRUE
"5466","doublet_certain","Granule","Astrocytes",FALSE,FALSE,518.746328450345,557.228466405661,TRUE,TRUE
"5467","singlet","Granule","Astrocytes",FALSE,FALSE,556.325866821122,556.788403337587,TRUE,TRUE
"5468","singlet","Granule","Ependymal",FALSE,FALSE,530.048219337921,541.311103330283,TRUE,TRUE
"5469","singlet","Granule","Astrocytes",FALSE,FALSE,599.234816583893,614.890535070233,TRUE,TRUE
