no_cells,no_celltypes,no_markers,k,frac_correct,concordex,mean_random_cdx,concordex_ratio
2000,4,13,20,0.2465,NA,NA,NA
2000,4,15,20,0.9995,0.9981098714414064,0.24913773001723863,4.006257387720214
2000,4,3,20,0.258,NA,NA,NA
2000,4,5,20,0.258,NA,NA,NA
2000,4,7,20,1,0.9987469318361192,0.24995475593376237,3.995710856171049
2000,4,9,20,0.9995,0.998468322528145,0.24919512656759027,4.0067730708903975
2000,4,1,30,0.2465,NA,NA,NA
2000,4,11,30,0.2645,0.5120559276321732,0.5001055149067227,1.0238957827283297
2000,4,13,30,0.2465,NA,NA,NA
2000,4,15,30,0.9995,0.9963517067508656,0.2498838768599327,3.9872588790886656
2000,4,3,30,0.258,NA,NA,NA
2000,4,5,30,0.258,NA,NA,NA
2000,4,7,30,1,0.99705721009365,0.2501293698492363,3.9861660815545945
2000,4,9,30,0.9995,0.9969735613311326,0.24927718640383792,3.999457694921187
2000,4,1,50,0.2465,NA,NA,NA
2000,4,11,50,0.2645,0.5084944446595177,0.5001125004839146,1.0167601173085907
2000,4,13,50,0.2465,NA,NA,NA
2000,4,15,50,0.9995,0.9926777025565112,0.2492637212784934,3.98243955223403
2000,4,3,50,0.258,NA,NA,NA
2000,4,5,50,0.258,NA,NA,NA
2000,4,7,50,1,0.9934783977638342,0.2503545734196666,3.9682853969616816
2000,4,9,50,0.9995,0.9934297616197406,0.2495968142039228,3.980137986889928
2000,6,1,20,0.174,0.3329076948756468,0.33283146942636177,1.0002290211602178
2000,6,11,20,0.8355,0.7616977240522971,0.16604607740373944,4.587267196925323
2000,6,13,20,0.1725,0.49983741870935466,0.49978322494580624,1.0001084345389029
2000,6,15,20,0.9965,0.9913284634341336,0.16702182374830046,5.935322948742624
2000,6,3,20,0.174,0.5115981963927856,0.4994271877087508,1.0243699361660152
2000,6,5,20,0.527,0.7642451875458548,0.24970309161592483,3.0606156399591606
2000,6,7,20,0.17,NA,NA,NA
2000,6,9,20,0.6335,0.932337933208562,0.24930961899725412,3.739678946037099
2000,6,1,30,0.174,0.33289378512212764,0.33352918266288323,0.998094926699719
2000,6,11,30,0.8355,0.7560738468775222,0.16688278778117854,4.530568172608117
2000,6,13,30,0.1725,0.4998082374520594,0.4997226390973265,1.0001712917287229
2000,6,15,30,0.9965,0.9883248566526318,0.1670432455146178,5.916580784861154
2000,6,3,30,0.174,0.5116399465597862,0.5006284791805834,1.0219952875977534
2000,6,5,30,0.527,0.762637929654435,0.24997357968365488,3.050874138857251
2000,6,7,30,0.17,NA,NA,NA
2000,6,9,30,0.6335,0.9268184232435552,0.2495904699536956,3.7133566174041017
2000,6,1,50,0.174,0.3328993490235353,0.3335310743893618,0.998105947498346
2000,6,11,50,0.8355,0.7477332866964955,0.16557602571421465,4.5159514094576005
2000,6,13,50,0.1725,0.49976488244122064,0.49979156244789064,0.9999466177329218
2000,6,15,50,0.9965,0.9820501318549932,0.1662505535846095,5.907048792804175
2000,6,3,50,0.174,0.5092034068136272,0.499374081496326,1.0196832909065856
2000,6,5,50,0.527,0.7548600118532858,0.24954389234327687,3.0249588750298377
2000,6,7,50,0.17,NA,NA,NA
2000,6,9,50,0.6335,0.9200285190245772,0.2494777702820889,3.687817627936489
2000,8,1,20,0.2865,0.5525652220506324,0.2500858950439737,2.2095017472035856
2000,8,11,20,0.7825,0.8671471180539153,0.1427095158005302,6.076309019686924
